Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,117.9000015258789,117.98999786376953,116.44000244140625,117.5199966430664,113.02887725830078,623100
2020-01-03,115.8499984741211,117.20999908447266,115.8499984741211,117.02999877929688,112.55760955810547,535200
2020-01-06,111.22000122070312,116.19999694824219,111.22000122070312,115.0,110.60519409179688,928700
2020-01-07,114.8499984741211,117.86000061035156,113.98999786376953,117.6500015258789,113.15391540527344,614500
2020-01-08,117.7699966430664,119.41000366210938,117.29000091552734,118.76000213623047,114.22151184082031,652300
2020-01-09,119.37000274658203,120.12999725341797,118.5,119.02999877929688,114.48118591308594,1058500
2020-01-10,119.41999816894531,120.11000061035156,118.79000091552734,119.08000183105469,114.5292739868164,558600
2020-01-13,118.79000091552734,119.33000183105469,117.7300033569336,118.5,113.971435546875,566800
2020-01-14,118.75,119.7699966430664,118.38999938964844,118.98999786376953,114.44271087646484,613800
2020-01-15,118.83999633789062,120.44000244140625,118.52999877929688,119.04000091552734,114.49079895019531,654100
2020-01-16,119.76000213623047,120.83999633789062,119.13999938964844,119.76000213623047,115.18330383300781,1119400
2020-01-17,114.56999969482422,119.0,112.79000091552734,114.68000030517578,110.29741668701172,3945800
2020-01-21,115.16999816894531,118.37999725341797,114.76000213623047,115.86000061035156,111.43231964111328,1869100
2020-01-22,114.5199966430664,116.19000244140625,113.62999725341797,114.30000305175781,109.93193054199219,1323500
2020-01-23,114.54000091552734,116.76000213623047,113.91000366210938,116.5,112.04786682128906,982700
2020-01-24,116.91000366210938,116.94999694824219,114.0,115.70999908447266,111.2880630493164,561500
2020-01-27,113.66999816894531,115.41999816894531,113.45999908447266,114.80999755859375,110.42244720458984,837300
2020-01-28,115.02999877929688,115.62999725341797,112.7699966430664,112.86000061035156,108.5469741821289,702900
2020-01-29,113.0999984741211,114.16000366210938,111.81999969482422,111.93000030517578,107.65251159667969,784300
2020-01-30,111.30999755859375,111.91999816894531,110.23999786376953,111.68000030517578,107.4120864868164,537500
2020-01-31,111.19999694824219,111.79000091552734,107.5199966430664,107.93000030517578,103.80538177490234,921300
2020-02-03,108.55000305175781,111.12999725341797,107.80000305175781,110.44000244140625,106.21944427490234,735700
2020-02-04,111.45999908447266,114.02999877929688,110.55000305175781,113.29000091552734,108.9605484008789,814600
2020-02-05,114.13999938964844,115.13999938964844,111.77999877929688,112.12999725341797,107.84486389160156,549100
2020-02-06,112.25,112.66999816894531,110.33999633789062,112.02999877929688,108.00875854492188,574200
2020-02-07,111.22000122070312,113.01000213623047,110.87999725341797,112.5199966430664,108.48116302490234,768500
2020-02-10,112.19999694824219,113.52999877929688,110.83000183105469,112.06999969482422,108.04733276367188,523500
2020-02-11,112.91999816894531,113.91000366210938,112.2300033569336,112.41000366210938,108.3751220703125,435500
2020-02-12,112.69000244140625,116.41999816894531,112.5999984741211,113.95999908447266,109.86949920654297,451600
2020-02-13,113.18000030517578,114.70999908447266,112.7300033569336,114.2300033569336,110.12981414794922,583100
2020-02-14,114.25,114.33999633789062,109.94999694824219,110.06999969482422,106.1191177368164,923100
2020-02-18,110.06999969482422,110.73999786376953,107.91999816894531,109.61000061035156,105.67562866210938,670200
2020-02-19,110.0999984741211,110.72000122070312,109.5,110.11000061035156,106.15768432617188,348000
2020-02-20,109.93000030517578,110.45999908447266,108.76000213623047,109.95999908447266,106.01307678222656,615400
2020-02-21,109.54000091552734,110.02999877929688,108.44999694824219,109.69999694824219,105.76239776611328,439000
2020-02-24,107.77999877929688,107.77999877929688,103.93000030517578,105.3499984741211,101.56853485107422,1038900
2020-02-25,105.55000305175781,106.05000305175781,100.91000366210938,101.2699966430664,97.63499450683594,1091300
2020-02-26,101.80999755859375,102.88999938964844,100.37000274658203,100.66999816894531,97.05650329589844,907500
2020-02-27,98.98999786376953,101.54000091552734,96.2699966430664,96.79000091552734,93.31578826904297,1246300
2020-02-28,93.76000213623047,96.44999694824219,92.01000213623047,96.44000244140625,92.97836303710938,1358400
2020-03-02,96.6500015258789,97.44999694824219,93.94000244140625,96.55999755859375,93.09403991699219,816700
2020-03-03,96.04000091552734,98.13999938964844,93.01000213623047,94.54000091552734,91.14655303955078,933200
2020-03-04,94.1500015258789,98.1500015258789,93.97000122070312,98.05000305175781,94.53056335449219,1125700
2020-03-05,95.76000213623047,96.61000061035156,92.29000091552734,93.08999633789062,89.74859619140625,771000
